Fund Holdings as of,"30/Oct/2020"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"LIN","LINDE PLC","Equity","10.22","188.20","2,901,049.00","545,977,421.80","545,977,421.80","Materials","IE00BZ12WP82","Xetra","United States","EUR"
"SIE","SIEMENS N AG","Equity","9.33","100.70","4,950,851.00","498,550,695.70","498,550,695.70","Industrials","DE0007236101","Xetra","Germany","EUR"
"SAP","SAP","Equity","7.66","91.49","4,474,693.00","409,389,662.57","409,389,662.57","Information Technology","DE0007164600","Xetra","Germany","EUR"
"ALV","ALLIANZ","Equity","7.02","151.06","2,484,162.00","375,257,511.72","375,257,511.72","Financials","DE0008404005","Xetra","Germany","EUR"
"ADS","ADIDAS N AG","Equity","5.22","255.00","1,093,322.00","278,797,110.00","278,797,110.00","Consumer Discretionary","DE000A1EWWW0","Xetra","Germany","EUR"
"BAS","BASF N","Equity","4.88","47.07","5,541,987.00","260,861,328.09","260,861,328.09","Materials","DE000BASF111","Xetra","Germany","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Equity","4.76","13.07","19,453,125.00","254,252,343.75","254,252,343.75","Communication","DE0005557508","Xetra","Germany","EUR"
"BAYN","BAYER AG","Equity","4.48","40.36","5,927,809.00","239,246,371.24","239,246,371.24","Health Care","DE000BAY0017","Xetra","Germany","EUR"
"DPW","DEUTSCHE POST AG","Equity","4.22","38.04","5,929,211.00","225,547,186.44","225,547,186.44","Industrials","DE0005552004","Xetra","Germany","EUR"
"DAI","DAIMLER AG","Equity","4.21","44.40","5,066,061.00","224,933,108.40","224,933,108.40","Consumer Discretionary","DE0007100000","Xetra","Germany","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Equity","3.51","23.90","7,848,297.00","187,574,298.30","187,574,298.30","Information Technology","DE0006231004","Xetra","Germany","EUR"
