Fund Holdings as of,"30/Oct/2020"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"ASML","ASML HOLDING NV","Equity","6.02","312.00","706,461.00","220,415,832.00","220,415,832.00","Information Technology","NL0010273215","Euronext Amsterdam","Netherlands","EUR"
"MC","LVMH","Equity","4.84","402.30","440,342.00","177,149,586.60","177,149,586.60","Consumer Discretionary","FR0000121014","Nyse Euronext - Euronext Paris","France","EUR"
"LIN","LINDE PLC","Equity","4.71","188.20","915,968.00","172,385,177.60","172,385,177.60","Materials","IE00BZ12WP82","Xetra","United States","EUR"
"SAP","SAP","Equity","4.54","91.49","1,816,328.00","166,175,848.72","166,175,848.72","Information Technology","DE0007164600","Xetra","Germany","EUR"
"SAN","SANOFI SA","Equity","4.00","77.37","1,892,357.00","146,411,661.09","146,411,661.09","Health Care","FR0000120578","Nyse Euronext - Euronext Paris","France","EUR"
"SIE","SIEMENS N AG","Equity","3.42","100.70","1,240,980.00","124,966,686.00","124,966,686.00","Industrials","DE0007236101","Xetra","Germany","EUR"
"FP","TOTAL","Equity","3.11","25.82","4,410,050.00","113,867,491.00","113,867,491.00","Energy","FR0000120271","Nyse Euronext - Euronext Paris","France","EUR"
"OR","LOREAL SA","Equity","3.07","277.70","405,008.00","112,470,721.60","112,470,721.60","Consumer Staples","FR0000120321","Nyse Euronext - Euronext Paris","France","EUR"
"UNA","UNILEVER NV","Equity","3.03","48.55","2,279,968.00","110,692,446.40","110,692,446.40","Consumer Staples","NL0000388619","Euronext Amsterdam","Netherlands","EUR"
"ALV","ALLIANZ","Equity","2.86","151.06","691,471.00","104,453,609.26","104,453,609.26","Financials","DE0008404005","Xetra","Germany","EUR"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Equity","2.69","125.50","784,752.00","98,486,376.00","98,486,376.00","Materials","FR0000120073","Nyse Euronext - Euronext Paris","France","EUR"
"IBE","IBERDROLA SA","Equity","2.66","10.13","9,604,030.00","97,240,803.75","97,240,803.75","Utilities","ES0144580Y14","Bolsa De Madrid","Spain","EUR"
"SU","SCHNEIDER ELECTRIC","Equity","2.61","104.20","915,852.00","95,431,778.40","95,431,778.40","Industrials","FR0000121972","Nyse Euronext - Euronext Paris","France","EUR"
"ENEL","ENEL","Equity","2.41","6.83","12,911,654.00","88,238,243.44","88,238,243.44","Utilities","IT0003128367","Borsa Italiana","Italy","EUR"
"ADS","ADIDAS N AG","Equity","2.16","255.00","310,128.00","79,082,640.00","79,082,640.00","Consumer Discretionary","DE000A1EWWW0","Xetra","Germany","EUR"
"BAS","BASF N","Equity","1.96","47.07","1,526,569.00","71,855,602.83","71,855,602.83","Materials","DE000BASF111","Xetra","Germany","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Equity","1.93","13.07","5,389,387.00","70,439,288.09","70,439,288.09","Communication","DE0005557508","Xetra","Germany","EUR"
