Fund Holdings as of,"30/Oct/2020"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"AAPL","APPLE INC","Equity","12.99","108.86","6,829,960.00","743,509,445.60","743,509,445.60","Information Technology","US0378331005","NASDAQ","United States","USD"
"MSFT","MICROSOFT CORP","Equity","10.69","202.47","3,022,170.00","611,898,759.90","611,898,759.90","Information Technology","US5949181045","NASDAQ","United States","USD"
"AMZN","AMAZON COM INC","Equity","10.61","3,036.15","200,034.00","607,333,229.10","607,333,229.10","Consumer Discretionary","US0231351067","NASDAQ","United States","USD"
"FB","FACEBOOK CLASS A INC","Equity","4.41","263.11","960,157.00","252,626,908.27","252,626,908.27","Communication","US30303M1027","NASDAQ","United States","USD"
"GOOGL","ALPHABET INC CLASS A","Equity","3.89","1,616.11","137,675.00","222,497,944.25","222,497,944.25","Communication","US02079K3059","NASDAQ","United States","USD"
"GOOG","ALPHABET INC CLASS C","Equity","3.77","1,621.01","133,236.00","215,976,888.36","215,976,888.36","Communication","US02079K1079","NASDAQ","United States","USD"
"TSLA","TESLA INC","Equity","3.22","388.04","474,680.00","184,194,827.20","184,194,827.20","Consumer Discretionary","US88160R1014","NASDAQ","United States","USD"
"NVDA","NVIDIA CORP","Equity","2.75","501.36","314,313.00","157,583,965.68","157,583,965.68","Information Technology","US67066G1040","NASDAQ","United States","USD"
"PYPL","PAYPAL HOLDINGS INC","Equity","1.94","186.13","596,931.00","111,106,767.03","111,106,767.03","Information Technology","US70450Y1038","NASDAQ","United States","USD"
"ADBE","ADOBE INC","Equity","1.91","447.10","244,059.00","109,118,778.90","109,118,778.90","Information Technology","US00724F1012","NASDAQ","United States","USD"
"NFLX","NETFLIX INC","Equity","1.87","475.74","224,381.00","106,747,016.94","106,747,016.94","Communication","US64110L1061","NASDAQ","United States","USD"
"CMCSA","COMCAST CORP CLASS A","Equity","1.72","42.24","2,324,554.00","98,189,160.96","98,189,160.96","Communication","US20030N1019","NASDAQ","United States","USD"
"INTC","INTEL CORPORATION CORP","Equity","1.67","44.28","2,163,537.00","95,801,418.36","95,801,418.36","Information Technology","US4581401001","NASDAQ","United States","USD"
"PEP","PEPSICO INC","Equity","1.64","133.29","705,899.00","94,089,277.71","94,089,277.71","Consumer Staples","US7134481081","NASDAQ","United States","USD"
"COST","COSTCO WHOLESALE CORP","Equity","1.40","357.62","224,264.00","80,201,291.68","80,201,291.68","Consumer Staples","US22160K1051","NASDAQ","United States","USD"
